PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,Room,Side
0001_01,1,False,2,39.0,False,0.0,0.0,0.0,0.0,0.0,False,1,0,0
0002_01,0,False,2,24.0,False,109.0,9.0,25.0,549.0,44.0,True,5,0,1
0003_01,1,False,2,58.0,True,43.0,3576.0,0.0,6715.0,49.0,False,0,0,1
0003_02,1,False,2,33.0,False,0.0,1283.0,371.0,3329.0,193.0,False,0,0,1
0004_01,0,False,2,16.0,False,303.0,70.0,151.0,565.0,2.0,True,5,1,1
0005_01,0,False,1,44.0,False,0.0,483.0,0.0,291.0,0.0,True,5,0,0
0006_01,0,False,2,26.0,False,42.0,1539.0,3.0,0.0,0.0,True,5,2,1
0006_02,0,True,2,28.0,False,0.0,0.0,0.0,0.0,,True,6,0,1
0007_01,0,False,2,35.0,False,0.0,785.0,17.0,216.0,0.0,True,5,3,1
0008_01,1,True,0,14.0,False,0.0,0.0,0.0,0.0,0.0,True,1,1,0
0008_02,1,True,2,34.0,False,0.0,0.0,,0.0,0.0,True,1,1,0
0008_03,1,False,0,45.0,False,39.0,7295.0,589.0,110.0,124.0,True,1,1,0
0009_01,2,False,2,32.0,False,73.0,0.0,1123.0,0.0,113.0,True,5,1,0
0010_01,0,False,2,48.0,False,719.0,1.0,65.0,0.0,24.0,False,6,1,1
0011_01,0,False,2,28.0,False,8.0,974.0,12.0,2.0,7.0,True,5,2,0
0012_01,0,False,2,31.0,False,32.0,0.0,876.0,0.0,0.0,False,8,Unknown,2
0014_01,2,False,0,27.0,False,1286.0,122.0,,0.0,0.0,False,5,3,0
0015_01,0,False,0,24.0,False,0.0,1.0,0.0,0.0,637.0,False,5,4,0
0016_01,2,True,2,45.0,False,0.0,0.0,0.0,0.0,0.0,True,5,5,0
0017_01,0,False,2,0.0,False,0.0,0.0,0.0,0.0,0.0,True,6,0,0
0017_02,0,False,0,14.0,False,412.0,0.0,1.0,0.0,679.0,False,5,6,0
